# Table S4. Marker genes for lineage annotations.											
# This table lists the marker genes that were used to annotate sc-RNA-seq cells with their corresponding lineage identity.											
# Expression patterns for marker genes were retrieved from Wormbase (26) (https://wormbase.org) and EPiC (17) (http://epic.gs.washington.edu/Epic2/).											
# Our lineage annotations include both pre-terminal cells and terminal cells with estimated embryo time < 510 minutes.											
# "Terminal cells with estimated embryo time >= 510 minutes were excluded from this annotation set, but are included in the cell type annotations described in Tables S1, S2, and S7."											
# "A subset of the UMAPs that guided the lineage annotations are shown in Figs S14-17, and Figs. S4-S11."											
# "The full set of UMAPs can be explored in the VisCello application. The ""UMAP group"" column in this table specifies whether the UMAP is found in the ""Cell type"" or ""Early lineage"" section of the application."											
# POE in the marker gene lists = Process of Elimination.											
Lineage	Lineage group	UMAP	UMAP group	Markers	Cells produced	IsTerminal	Redundant	Notes			
Dxxa	D8	Time 300min non-pharyngeal mesoderm	Early lineage	POE	"BWM D8/10, V6/8"	0	0				
Dxaap	D16	Time 300min non-pharyngeal mesoderm	Early lineage	ceh-13	BWM D8	1	0	"Includes early cells only, before trajectory converges with Dxpap and Dxxaa. Late cells are annotated as ""Dxxax""."			
Dxapa	D16	Time 300min non-pharyngeal mesoderm	Early lineage	ceh-34	BWM V3	1	0	"Includes early cells only, before trajectory converges with sister Dxapp. Late cells after trajectory convergence are annotated as ""Dxapx""."			
Dxapp	D16	Time 300min non-pharyngeal mesoderm	Early lineage	ceh-13	BWM V5	1	0	"Includes early cells only, before trajectory converges with sister Dxapa. Late cells after trajectory convergence are annotated as ""Dxapx""."			
Dxapx	D16	Time 350min non-pharyngeal mesoderm	Early lineage	POE	BWM V3 and V5	1	1	"Includes late cells only, after trajectories of Dxapa and Dxapp converge. Early cells are annotated separately as ""Dxapa"" and ""Dxapp""."			
Dxpap	D16	Time 300min non-pharyngeal mesoderm	Early lineage	lin-39	BWM D10	1	0	"Includes early cells only, before trajectory converges with Dxaap and Dxxaa. Late cells are annotated as ""Dxxax""."			
Dxppa	D16	Time 350min non-pharyngeal mesoderm	Early lineage	ceh-13	BWM D7/D9	0	0				
Dxppp	D16	Time 350min non-pharyngeal mesoderm	Early lineage	lin-39	BWM D11/D13	0	0				
Dxxaa	D16	Time 300min non-pharyngeal mesoderm	Early lineage	unc-130	BWM V6 and V8	1	0	"Includes early cells only, before trajectory converges with Dxaap and Dxpap. Late cells are annotated as ""Dxxax""."			
Dxxax	D16	Time 350min non-pharyngeal mesoderm	Early lineage	POE	BWM V6/D8 and V8/D10	1	1	"Includes late cells only, after trajectories of Dxaap, Dxpap, and Dxxaa converge. Early cells are annotated separately as ""Dxaap"", ""Dxpap"", and ""Dxxaa""."			
Dxppax	D_gen_5	Time 300-400min posterior muscle	Early lineage	ceh-13	BWM D7 and D9	1	0	Continuation of UMAP trajectory for Dxppa. Cell division point estimated based on embryo time.			
Dxpppx	D_gen_5	Time 300-400min posterior muscle	Early lineage	lin-39	BWM D11 and D13	1	0	Continuation of UMAP trajectory for Dxppp. Cell division point estimated based on embryo time.			
Cx	C2	Time 130min lineage	Early lineage	"pal-1, embryo time < 110"		0	0				
Cxa	C4	Time 150min lineage	Early lineage	"pal-1, elt-1"		0	0				
Cxp	C4	Time 150min lineage	Early lineage	"pal-1, hnd-1"		0	0	proximal to Cxa in UMAP			
Cxaa	C8	Time 250min lineage	Early lineage	lin-39	hyp7 (8x)	0	0				
Cxap	C8	Time 300min C hypodermis/DVC	Early lineage	"ztf-11, mom-2"	"hyp7 (4x), hyp11, DVC, PVR"	0	0				
Cxpa	C8	Time 250min C/D bwm	Early lineage	"vab-23, lin-39"		0	0				
Cxpp	C8	Time 250min C/D bwm	Early lineage	tlp-1		0	0				
Caapa	C16	"Time 300min C hypodermis/DVC, Non-ciliated neurons"	"Early lineage, Cell type"	"ces-1, ztf-11, vab-7, hlh-14, php-3, nob-1"	DVC/x	0	0				
Cpapa	C16	Time 300min C hypodermis/DVC	Early lineage	mom-2	hyp7 (2x)	0	0				
Cxaax	C16	Time 300min C hypodermis/DVC	Early lineage	POE	hyp7 (8x)	0	0				
Cxapp	C16	Time 300min C hypodermis/DVC	Early lineage	"nob-1, ztf-11, tbx-11"	"hyp7/hyp11, hyp7/PVR"	0	0	"In theory Caapp and Cpapp could be different, but found markers of both in one trajectory"			
Cxpaa	C16	Time 300min non-pharyngeal mesoderm	Early lineage	"lin-39, hlh-8"	BWM V10/12/14/16	0	0				
Cxpap	C16	Time 300min non-pharyngeal mesoderm	Early lineage	vab-15 (?)	"BWM D14/18, V19/22"	0	0				
Cxppa	C16	Time 300min non-pharyngeal mesoderm	Early lineage	"lin-39, mab-5, unc-130"	BWM D12/17/20/24	0	0				
Cxppp	C16	Time 300min non-pharyngeal mesoderm	Early lineage	vab-1	"BWM D19/21/23, V23"	0	0				
Caapaa	C32	Non-ciliated neurons	Cell type	"ceh-63, hlh-14, hlh-13, egl-20"	DVC	1	0				
Caapap	C32	NA	NA	NA	x	1	0	Not identified (cell death).			
Caappv	C32	Time 300min C hypodermis/DVC	Early lineage	"hlh-14, unc-86, egl-20"	PVR	1	0				
Cpapax	C32	Time 300min C hypodermis/DVC	Early lineage	mom-2	hyp7	1	0				
Cpappv	C32	Time 300min C hypodermis/DVC	Early lineage	"lin-44, nhr-25"	hyp11	1	0				
Cxaaax/Cxaapa	C32	Time 300min C hypodermis/DVC	Early lineage	lin-39	hyp7	1	0				
Cxaapp	C32	Time 300min C hypodermis/DVC	Early lineage	mab-5	hyp7	1	0				
Cxappd	C32	Time 300min C hypodermis/DVC	Early lineage	tbx-2	hyp7	1	0				
Cxpaaa	C32	Time 350min non-pharyngeal mesoderm	Early lineage	POE	bwm V10/V12	0	0				
Cxpaap	C32	Time 350min non-pharyngeal mesoderm	Early lineage	mab-5	bwm V14/V16	0	0				
Cxpapa	C32	Time 350min non-pharyngeal mesoderm	Early lineage	POE	bwm D14/D18	0	0				
Cxpapp	C32	Time 350min non-pharyngeal mesoderm	Early lineage	egl-5	bwm V19/V22	0	0				
Cxppaa	C32	Time 350min non-pharyngeal mesoderm	Early lineage	POE	bwm D12/D17	0	0				
Cxppap	C32	Time 350min non-pharyngeal mesoderm	Early lineage	egl-5	bwm D20/D24	0	0				
Cxpppa	C32	Time 350min non-pharyngeal mesoderm	Early lineage	POE	bwm D19/D21	0	0				
Cxpppp	C32	Time 350min non-pharyngeal mesoderm	Early lineage	egl-5	bwm D23/V(23 or 24)	0	0				
Cxpaaax	C_gen_6	Time 300-400min posterior muscle	Early lineage	POE	BWM V10 and V12	1	0	Continuation of UMAP trajectory for Cxpaaa. Cell division point estimated based on embryo time.			
Cxpaapx	C_gen_6	Time 300-400min posterior muscle	Early lineage	mab-5	BWM V14 and V16	1	0	Continuation of UMAP trajectory for Cxpaap. Cell division point estimated based on embryo time.			
Cxpapax	C_gen_6	Time 300-400min posterior muscle	Early lineage	POE	BWM D14 and D18	1	0	Continuation of UMAP trajectory for Cxpapa. Cell division point estimated based on embryo time.			
Cxpappx	C_gen_6	Time 300-400min posterior muscle	Early lineage	egl-5	BWM V19 and V22	1	0	Continuation of UMAP trajectory for Cxpapp. Cell division point estimated based on embryo time.			
Cxppaax	C_gen_6	Time 300-400min posterior muscle	Early lineage	POE	BWM D12 and D17	1	0	Continuation of UMAP trajectory for Cxppaa. Cell division point estimated based on embryo time.			
Cxppapx	C_gen_6	Time 300-400min posterior muscle	Early lineage	egl-5	BWM D20 and D24	1	0	Continuation of UMAP trajectory for Cxppap. Cell division point estimated based on embryo time.			
Cxpppax	C_gen_6	Time 300-400min posterior muscle	Early lineage	POE	BWM D19 and D21	1	0	Continuation of UMAP trajectory for Cxpppa. Cell division point estimated based on embryo time.			
Cxppppx	C_gen_6	Time 300-400min posterior muscle	Early lineage	egl-5	BWM D23 and V(23 or 24)	1	0	Continuation of UMAP trajectory for Cxpppp. Cell division point estimated based on embryo time.			
MSx	MS2	Time 130min lineage	Early lineage	"sdz-1, sdz-31, embryo time < 110"	Could include early undifferentiated MSxx	0	0				
MSxa	MS4	Time 150min lineage	Early lineage	"ceh-51, pha-4"		0	0				
MSxp	MS4	Time 150min lineage	Early lineage	"ceh-51, hnd-1"		0	0				
MSxaa	MS8	Time 200min pharynx	Early lineage	"alr-1, irx-1"		0	0				
MSxap	MS8	Time 200min pharynx	Early lineage	ceh-36		0	0				
MSxpa	MS8	Time 200min lineage	Early lineage	unc-39		0	0				
MSxpp	MS8	Time 200min lineage	Early lineage	unc-120		0	0				
MSxaaa	MS16	Time 200min pharynx	Early lineage	"ceh-27, tbx-2"		0	0				
MSxaap	MS16	Time 250 MSxa + MSxp	Early lineage	ceh-36		0	0				
MSxapa	MS16	Time 250 MSxa + MSxp	Early lineage	"dmd-4, ceh-16"		0	0				
MSxapp	MS16	Time 250 MSxa + MSxp	Early lineage	nhr-67		0	0				
MSxpaa	MS16	Time 200min lineage	Early lineage	ref-2		0	0				
MSxpap	MS16	Time 200min lineage	Early lineage	"tbx-8, unc-120, unc-39"		0	0				
MSxppa	MS16	Time 200min lineage	Early lineage	"POE, UMAP connectivity to lineage descendents"		0	0				
MSxppp	MS16	Time 200min lineage	Early lineage	tbx-8		0	0				
MSaaaaa	MS32	Time 300min MS pharynx	Early lineage	"let-381, (unc-30 subset), ceh-27, ceh-32, ceh-34"	"GLRDL/R, (I3/g1P)/m4DL"	0	0				
MSaaaap	MS32	Time 300min MS pharynx	Early lineage	"ceh-13, ceh-27"	"I4/m5DL, x/m7D"	0	0				
MSaaapp	MS32	Time 300min MS pharynx	Early lineage	"ttx-1, ceh-36"	vpi3D/x	0	0				
MSaappa	MS32	Time 250min MSxa	Early lineage	"pha-4, nhr-67(weak), cwn-2"		0	0				
MSapaap	MS32	Time 200min lineage	Early lineage	"pal-1, trajectory continues to M"	x/M	0	0				
MSpaaaa	MS32	Time 300min MS pharynx	Early lineage	"hlh-3, tbx-2, tbx-7, ceh-32, ceh-34"	"M4/x, m3DR/m4DR"	0	0				
MSpaaap	MS32	Time 300min MS pharynx	Early lineage	"ceh-27, not ceh-32, ceh-34 or ceh-13, POE"	"I6/M5, m5DR/m6D"	0	0				
MSpappa	MS32	Time 250min MSxa	Early lineage	"nhr-67, cwn-2, unc-120, hnd-1"	BWM VL15/VR15	0	0				
MSppaap	MS32	Time 200min lineage	Early lineage	"pal-1, POE"	x/mu int R	0	0				
MSxaapa	MS32	Time 300min MS pharynx	Early lineage	"ceh-32, ceh-34, tbx-2, tbx-7"		0	0				
MSxapaa	MS32	Time 300min MS pharynx	Early lineage	"dmd-4, tbx-2, ceh-34"	"m4V/m5V, (g1A/x)/m7V"	0	0				
MSxapap	MS32	Time 300min MS pharynx	Early lineage	"dmd-4, cnd-1"	"g2/x, m6V/vpi2D"	0	0				
MSxappp	MS32	Time 200min lineage	Early lineage	tbx-8	BWM V7/9/11/13	0	0				
MSxpaaa	MS32	Time 200min lineage	Early lineage	"let-381, sfrp-1, unc-39"	"GLR(L or R)/GLRV, BWM D2"	0	0				
MSxpapa	MS32	Time 200min lineage	Early lineage	"let-381, sfrp-1, ceh-34"	"ccA/ccP, BWM V2"	0	0				
MSxpapp	MS32	Time 250min MSxp	Early lineage	"tbx-8, unc-39, no let-381"	BWM D4/D1	0	0				
MSxppaa	MS32	Time 200min lineage	Early lineage	"let-381, POE"	(hmc or x) / (Z4 or Z1)	0	0				
MSxppap	MS32	Time 200min lineage	Early lineage	"tbx-2, hlh-1, unc-120"	x / BWM V1	0	0				
MSxpppa	MS32	Time 200min lineage	Early lineage	POE	BWM V4/D6	0	0				
MSxpppp	MS32	Time 250min MSxa	Early lineage	"nhr-67, unc-120, ceh-13"	BWM D3/D5	0	0				
MSaaaaaa	MS64	Non-pharyngeal mesoderm	Cell type	"unc-30, let-381"	GLRDL/GLRDR	0	0				
MSaaaaap	MS64	Time 300min MS pharynx	Early lineage	"hlh-6, pros-1"	"I3/g1P, m4DL"	0	0				
MSaaaapa	MS64	Time 300min MS pharynx	Early lineage	"pha-2, tbx-2, tbx-7"	I4/m5DL	0	0				
MSaaaapp	MS64	Time 300min MS pharynx	Early lineage	"ceh-13, pha-4"	x/m7D	0	0				
MSaaapaa	MS64	Time 300min MS pharynx	Early lineage	"sptf-1, ceh-22"	m3DL/m4L	0	0				
MSaaappp	MS64	"Time 300min MS pharynx, Pharynx"	"Early lineage, Cell type"	"ttx-1, ceh-36"	vpi3D	1	0				
MSapaapp	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	"pal-1, time"	M	1	0				
MSappaaa	MS64	Non-pharyngeal mesoderm	Cell type	"hlh-8, sfrp-1, glb-26, dmd-4"	hmc	1	0	Late hmc after divergence from hmc homolog.			
MSpaaaaa	MS64	Time 300min MS pharynx	Early lineage	nhr-67	M4/x	0	0				
MSpaaaap	MS64	Time 300min MS pharynx	Early lineage	"ceh-27, pha-4"	m3DR/m4DR	0	0				
MSpaaapa	MS64	Time 300min MS pharynx	Early lineage	"ceh-27, ces-1, cnd-1 (in trajectory by t350)"	I6/M5	0	0				
MSpaaapp	MS64	Time 300min MS pharynx	Early lineage	"ceh-27, tbx-2"	m5DR/m6D	0	0				
MSpaapaa	MS64	"Time 300min MS pharynx, Pharynx"	"Early lineage, Cell type"	"ceh-32, ceh-34, tbx-7, ngn-1, ces-1"	M1/x	0	0				
MSpappax	MS64	Non-pharyngeal mesoderm	Cell type	"hlh-1, UMAP connectivity to parent"	BWM VL15 and VR15	1	0				
MSppaapp	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	"pal-1, time"	mu int R	1	0				
MSpppaaa	MS64	Non-pharyngeal mesoderm	Cell type	"cex-2, lin-1, rig-3"	hmc homolog	1	0	Late hmc homolog after divergence from hmc.			
MSxaapap	MS64	Time 300min AB pharynx	Early lineage	"pax-1, lin-12, trajectory to ref-1, aff-1/eff-1"	mc3D(L or R)/(m8 or vpi1)	0	0				
MSxapaaa	MS64	Time 300min MS pharynx	Early lineage	"ceh-22, pha-2"	m4V/m5V	0	0				
MSxapaap	MS64	Time 300min MS pharynx	Early lineage	ceh-13	"g1A/x, m7V"	0	0				
MSxapapa	MS64	Time 300min MS pharynx	Early lineage	"hlh-6, ces-1, ceh-6"	g2/x	0	0				
MSxapapp	MS64	Time 300min MS pharynx	Early lineage	unc-62	m6V/vpi2D	0	0				
MSxapppa	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	POE	BWM V7/V9	0	0				
MSxapppp	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	lin-39	BWM V11/V13	0	0				
MSxpaaaa	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	unc-30	GLR(L or R)/GLRV	0	0				
MSxpaaap	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	"unc-120, ceh-34"	BWM D2	1	0				
MSxpaapa	MS64	NA	NA	NA	x	1	0	Not identified (cell death).			
MSxpapaa	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	let-381	ccA/ccP	0	0				
MSxpapap	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	unc-120	BWM V2	1	0				
MSxpappa	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	no ceh-34	BWM D4	1	0				
MSxpappp	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	ceh-34	BWM D1	1	0				
MSxppaaa	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	"POE, trajectory"	hmc or hmc_hom	1	1	UMAP trajectories for hmc and hmc homolog diverge in later embryo times: see annotations MSappaaa and MSpppaaa.			
MSxppaap	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	ehn-3	Z4 or Z1	1	0				
MSxppapa	MS64	NA	NA	NA	x	1	0	Not identified (cell death).			
MSxppapp	MS64	Time 350min non-pharyngeal mesoderm	Early lineage	"ceh-34, time"	BWM V1	1	0				
MSxpppaa	MS64	Time 300-400min anterior muscle	Early lineage	"POE, trajectory"	BWM V4	1	0	"Includes only late cells. Early cells are not clearly separated from sister MSxpppap, so they are annotated as ""MSxpppax""."			
MSxpppap	MS64	Time 300-400min anterior muscle	Early lineage	ceh-13	BWM D6	1	0	"Includes only late cells. Early cells are not clearly separated from sister MSxpppaa, so they are annotated as ""MSxpppax""."			
MSxpppax	MS64	Time 300-400min anterior muscle	Early lineage	Trajectory	BWM V4 and D6	1	1	"Includes only early cells. Late cells are annotated separately as ""MSxpppaa"" and ""MSxpppap""."			
MSxppppa	MS64	Time 300-400min anterior muscle	Early lineage	ceh-34	BWM D3	1	0	"Includes only late cells. Early cells are not clearly separated from sister MSxppppp, so they are annotated as ""MSxppppx""."			
MSxppppp	MS64	Time 300-400min anterior muscle	Early lineage	ceh-13	BWM D5	1	0	"Includes only late cells. Early cells are not clearly separated from sister MSxppppa, so they are annotated as ""MSxppppx""."			
MSxppppx	MS64	Time 300-400min anterior muscle	Early lineage	Trajectory	BWM D3 and D5	1	1	"Includes only early cells. Late cells are annotated separately as ""MSxppppa"" and ""MSxppppp""."			
MSaaaaaax/MSxpaaaax	MS_gen_7	Non-pharyngeal mesoderm	Cell type	"unc-30, let-381, sfrp-1"	GLR	1	0	Same annotation as GLR in Table S1.			
MSaaaaapa	MS_gen_7	Pharynx	Cell type	"hlh-6, see note"	I3/g1P	0	0	"Part of cluster in which terminal g1P and g1A were identified (see Table S1). Distinguished from daughter by embryo time. Distinguished from g1A parent (MSxapaapa) by ceh-53, which we observe to be expressed in terminal g1P and g1P parent but not terminal g1A and g1A parent."			
MSaaaappp/MSxapaapp	MS_gen_7	Pharynx	Cell type	"tnc-2, tni-4, ceh-22, spp-7, W05B10.4"	m7	1	0	Same annotation as pm7 in Table S1.			
MSaaapapp	MS_gen_7	Pharynx	Cell type	"ref-1, aff-1, pax-1, inx-20, unc-129"	m8	1	0	Same annotation as pm8 in Table S1.			
MSpaaappp/MSxapappa	MS_gen_7	Pharynx	Cell type	"tnc-2, ser-2, elt-4, W05B10.4"	m6	1	0	Same annotation as pm6 in Table S1.			
MSxaapapa/ABalpappapp	MS_gen_7	Pharynx	Cell type	"ttx-1, pax-1, agr-1, irx-1"	mc3	1	0	Same annotation as mc3 in Table S1.			
MSxapaapa	MS_gen_7	Pharynx	Cell type	"hlh-6, see note"	g1A/x	0	0	"Part of cluster in which terminal g1A and g1P were identified (see Table S1). Distinguished from daughter by embryo time. Distinguished from g1P parent (MSaaaaapa) by lack of ceh-53, which we observe to be expressed in terminal g1P and g1P parent but not terminal g1A and g1A parent."			
MSxapapaa	MS_gen_7	Pharynx	Cell type	"hlh-6, ceh-6, irx-1, dmd-4, gly-15"	g2	1	0	Same annotation as g2 in Table S1.			
MSxapppax	MS_gen_7	Time 350min non-pharyngeal mesoderm	Early lineage	POE	BWM V7 and V9	1	0				
MSxappppx	MS_gen_7	Time 350min non-pharyngeal mesoderm	Early lineage	lin-39	BWM V11 and V13	1	0				
ABaxx	AB8	Time 130min lineage	Early lineage	"tbx-37, tbx-38"		0	0	Could include undifferentiated daughters ABaxxx			
ABpxp	AB8	Time 130min lineage	Early lineage	"ceh-36, unc-30"		0	0	Could include undifferentiated ABpxpx			
ABarpx	AB16	Time 130min lineage	Early lineage	"tbx-8, tbx-9, ceh-37"		0	0				
ABpxax	AB16	Time 130min lineage	Early lineage	"elt-1, not ceh-37, not pal-1"		0	0				
ABpxpa	AB16	Time 130min lineage	Early lineage	"ceh-36, cnd-1"		0	0				
ABpxpp	AB16	Time 130min lineage	Early lineage	"ceh-36, ets-7, ceh-13"		0	0				
ABalaax	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"nhr-67,�ceh-32, ref-2"		0	0				
ABalapx	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"mls-2, ref-2, lin-32"		0	0				
ABalpax	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"pha-4, alr-1"		0	0				
ABalpax/ABaraax	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"pha-4, no ceh-51"		0	1	"Extra cells not included in ""ABalpax"" or ""ABaraax"" that could be identified as either ABalpax or ABaraax but could not be narrowed down futher due to a lack of alr-1 or mls-2 expression."			
ABalppa	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"sptf-1, ceh-32"		0	0				
ABalppp/ABpraaa	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	unc-39		0	0				
ABaraax	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"pha-4, mls-2"		0	0				
ABarapa	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"pha-4, ceh-27, neither mls-2 nor alr-1"		0	0				
ABarpaa	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"ceh-32, elt-1, no ref-1"		0	0				
ABarpap/ABplaaa	AB32	Time 250min AB hypodermis	Early lineage	"ref-1, glp-1"		0	0				
ABarppx	AB32	Time 250min AB hypodermis	Early lineage	"vab-15, ceh-16, tbx-2, early embryo time"		0	0				
ABpxaap	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"elt-1, unc-130, tbx-11"		0	0				
ABpxapa	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"elt-1, ceh-13, irx-1, vab-15"		0	0				
ABpxapp	AB32	"Time 130min lineage, Time 150min lineage"	Early lineage	"elt-1, ceh-13, nob-1"		0	0				
ABpxpaa	AB32	Time 150min lineage	Early lineage	"ceh-36, ngn-1, cnd-1"		0	0				
ABpxpap	AB32	Time 200min ABpxp	Early lineage	ceh-27		0	0				
ABpxppa	AB32	Time 150min lineage	Early lineage	"ceh-36, ngn-1, cnd-1"		0	0				
ABpxppp	AB32	Time 150min lineage	Early lineage	"ceh-36, nob-1"		0	0				
ABalaax/ABalapxa	AB32_or_AB64	"Time 130min lineage, Time 150min lineage"	Early lineage	"unc-39, ceh-32"		0	1	"Extra cells not included in the ""ABalaax"", ""ABalapaa"", or ""ABalappa"" annotations that could be identified as either ABalaax or ABalapxa (or possibly ABalaaxx), but could not be narrowed down further."			
ABalaaaa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"nhr-67, sem-2"		0	0	Broken symmetry.			
ABalaaap	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"sem-2, no nhr-67"		0	0	Broken symmetry.			
ABalaapa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"nhr-67, no sem-2"		0	0				
ABalaapp	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"C05B5.4, sptf-1"		0	0				
ABalapaa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"ceh-32, unc-39"		0	0				
ABalappa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	unc-39		0	0				
ABalapxp	AB64	Time 200min lineage ABax neuron + glia	Early lineage	mls-2		0	0				
ABalpaaa/ABarapaa	AB64	Time 200min pharynx	Early lineage	"ceh-27, ceh-32"		0	0				
ABalpaap/ABaraaap	AB64	Time 200min pharynx	Early lineage	POE		0	0	Trajectory leads to ABalpaapp/ABaraaaap			
ABalpapa/ABarappa	AB64	Time 200min ABpxp	Early lineage	"ceh-27, ceh-5"		0	0				
ABalpapp/ABarapap	AB64	Time 200min pharynx	Early lineage	ceh-36		0	0				
ABalppaa	AB64	Time 200min lineage ABax neuron + glia	Early lineage	"unc-39, sptf-1, ceh-32"		0	0				
ABalppap/ABarappp	AB64	Time 250min lineage ABala region	Early lineage	cnd-1		0	0				
ABalpppa/ABpraaaa	AB64	Time 200min hypodermis etc.	Early lineage	"unc-39, alr-1"		0	0				
ABalpppp/ABpraaap	AB64	Time 200min hypodermis etc.	Early lineage	"sptf-1, no alr-1/unc-39"		0	0				
ABaraaaa	AB64	Time 200min pharynx	Early lineage	"mls-2, sem-2"		0	0				
ABaraapx	AB64	Time 200min pharynx	Early lineage	"mls-2, ceh-27"		0	0				
ABarpaaa	AB64	Time 250min hypodermis	Early lineage	"sem-2, ref-2, tbx-2"		0	0				
ABarpaap	AB64	Time 250min AB hypodermis	Early lineage	"nhr-25, lin-26, POE"		0	0				
ABarpapa/ABplaaaa	AB64	Time 200min hypodermis etc.	Early lineage	"mnm-2, lin-32"		0	0				
ABarpapp/ABplaaap	AB64	Time 200min hypodermis etc.	Early lineage	"nhr-25, POE"		0	0	"Positioned about right in t180 UMAP, but embryo time a little late."			
ABarppxa	AB64	Time 250min AB hypodermis	Early lineage	"vab-15, tbx-2"		0	0				
ABarppxp	AB64	Time 250min AB hypodermis	Early lineage	sptf-1		0	0				
ABplpapp	AB64	Time 200min ABpxp	Early lineage	"nhr-67, unc-130, ceh-6"		0	0				
ABprpapp	AB64	Time 200min ABpxp	Early lineage	"nhr-67, unc-130"		0	0				
ABpxaapa	AB64	Time 200min hypodermis etc.	Early lineage	"cnd-1, mnm-2"		0	0				
ABpxaapp	AB64	Time 200min hypodermis etc.	Early lineage	"pax-3, sptf-1"		0	0				
ABpxapaa	AB64	Time 200min hypodermis etc.	Early lineage	"lin-32, ztf-11"		0	0				
ABpxapap	AB64	Time 200min hypodermis etc.	Early lineage	"sptf-1, nob-1, nhr-25"		0	0				
ABpxappa	AB64	Time 200min hypodermis etc.	Early lineage	"lin-39, ceh-13"		0	0				
